id;code;libelle_a;description;date_created;date_updated;user_created;user_updated;user_deleted
1;deposit web services transmit;Wisconsin;Plastic Identity;2020-03-25;2020-03-24;72896;44042;22424
2;networks Engineer;Ball lavender customer loyalty;Slovakia (Slovak Republic) Iraq;2020-03-25;2020-03-25;92727;5337;19700
3;Bacon reboot;multi-state Graphic Interface;deliver;2020-03-25;2020-03-25;9873;17101;27376
4;azure;Vanuatu;grey;2020-03-25;2020-03-25;19832;80952;62411
5;Iran Kina quantify;Villages invoice;Refined New Caledonia Estates;2020-03-25;2020-03-25;73743;71339;58842
6;Integrated task-force primary;feed;array Drive;2020-03-24;2020-03-25;14451;76142;99079
7;sexy Avon;Forward;generating Refined Cotton Table morph;2020-03-25;2020-03-24;32015;50506;6313
8;bypassing;quantifying needs-based;PCI invoice District;2020-03-25;2020-03-25;91763;29451;23888
9;feed Toys;Investor Extended;navigating maximize;2020-03-25;2020-03-25;54249;69936;94588
10;grow Ball primary;Tasty Bike program;optical core Handcrafted Steel Sausages;2020-03-25;2020-03-25;69075;27120;90186
