id;date_activite;heure_connexion_activite;heure_de_connexion_activite;adresse_ip_activite;date_created;user_created;adresse_mac
1;2020-03-24;withdrawal black array;District;Investment Account customized value-added;2020-03-24;36928;bandwidth Automotive
2;2020-03-25;USB;parsing Concrete indigo;human-resource Centralized;2020-03-24;36768;Kids
3;2020-03-25;Granite;Table ROI interface;Computer East Caribbean Dollar Anguilla;2020-03-24;45403;leverage Business-focused
4;2020-03-24;Electronics convergence Rhode Island;redundant channels;azure Executive Virgin Islands, British;2020-03-25;74043;virtual Concrete Berkshire
5;2020-03-25;e-business;online Table Morocco;Plastic intermediate upward-trending;2020-03-25;41226;deposit Buckinghamshire deploy
6;2020-03-24;bypass Steel Frozen;backing up;Corporate Home Forward;2020-03-25;48559;card Gorgeous
7;2020-03-25;Central Personal Loan Account Western Sahara;Orchestrator deposit;El Salvador withdrawal;2020-03-24;45861;impactful Automotive
8;2020-03-25;salmon;Toys Practical Soft Keyboard;Unbranded Kansas application;2020-03-25;47381;Incredible
9;2020-03-24;Taka;hierarchy;Qatar;2020-03-25;69091;Global Plastic Lebanon
10;2020-03-25;Games partnerships robust;strategize Personal Loan Account;Managed;2020-03-25;65500;Trail maximize Awesome
