id;code;note;observation;nb_questions;moyenne;date_deleted;date_created;date_updated;user_created;user_update;user_delete
1;reboot empower;17381;Gloves virtual hard drive;47063;64734;2020-03-25T07:58:41;2020-03-25T02:56:00;2020-03-24T22:38:19;12990;70462;90352
2;Pa'anga Baby Developer;97857;channels Chicken Cloned;12789;39716;2020-03-25T00:50:58;2020-03-24T21:38:44;2020-03-25T11:57:57;72776;13207;60962
3;Sleek Rubber Mouse Paradigm mint green;92554;Principal Planner Steel;53396;8826;2020-03-25T13:31:57;2020-03-25T17:38:07;2020-03-25T17:30:16;18184;76305;38624
4;open-source;13010;Handcrafted Rubber Cheese synthesize navigate;32568;82742;2020-03-25T05:01:47;2020-03-25T03:58:47;2020-03-25T16:18:39;56899;34916;82953
5;Licensed Plastic Soap Belgium Optional;16257;Exclusive e-business coherent;12898;81322;2020-03-25T00:14:35;2020-03-25T04:36:29;2020-03-25T11:35:47;80830;58881;40564
6;South Georgia and the South Sandwich Islands implementation New Leu;69000;Dalasi;39392;25254;2020-03-25T03:05:17;2020-03-25T03:11:37;2020-03-25T05:56:42;58457;27833;98787
7;Sleek Steel Ball Cross-group;39184;multi-tasking;19946;14241;2020-03-25T14:22:49;2020-03-24T23:19:58;2020-03-25T14:27:54;9437;14391;22419
8;Cambridgeshire connecting Generic Plastic Hat;14828;Hollow Way;5041;50117;2020-03-25T01:30:03;2020-03-25T13:22:34;2020-03-25T05:39:55;35271;35794;32269
9;Liaison Strategist;9919;connecting;4643;52876;2020-03-25T12:52:58;2020-03-25T18:30:10;2020-03-25T10:28:26;68512;4806;34962
10;Intelligent Granite Sausages Mobility Cayman Islands Dollar;82349;Borders Accounts;76896;1698;2020-03-24T21:13:11;2020-03-25T00:24:48;2020-03-25T16:41:38;55988;28071;21425
