id;libelle;description;date;date_created;date_updated;user_created;user_updated;user_deleted
1;Ergonomic;indexing;2020-03-25;2020-03-25;2020-03-25;10085;92940;45149
2;Multi-layered bypass Hat;networks;2020-03-25;2020-03-25;2020-03-24;96586;18667;92116
3;Awesome Human Checking Account;Iceland;2020-03-24;2020-03-25;2020-03-24;84848;4978;84562
4;Virginia;enable Fiji Dollar;2020-03-25;2020-03-24;2020-03-24;943;26009;13839
5;product Avon;grid-enabled Rwanda Franc Checking Account;2020-03-25;2020-03-25;2020-03-25;96444;29885;95268
6;Secured mobile Unbranded Steel Car;Chilean Peso Unidades de fomento sky blue;2020-03-24;2020-03-24;2020-03-25;59742;62130;1271
7;Re-contextualized Baby Rapids;bluetooth Sri Lanka Rupee Direct;2020-03-25;2020-03-25;2020-03-24;15226;89508;3565
8;Solomon Islands Dollar Books;Hat transparent;2020-03-24;2020-03-24;2020-03-25;50071;61072;33187
9;Total Handcrafted system-worthy;Small Steel Pants partnerships mission-critical;2020-03-25;2020-03-25;2020-03-25;46037;76333;58412
10;Dynamic maroon deposit;Computer Outdoors Beauty;2020-03-25;2020-03-25;2020-03-25;28714;71949;29226
