id;numero;libelle;prix_total;date_comm;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;Quetzal radical Producer;Cotton Directives;17924;2020-03-25;2020-03-25;2020-03-24;2020-03-25;9606;91211;6657
2;Chicken;Granite indigo;76319;2020-03-25;2020-03-25;2020-03-25;2020-03-25;88274;98208;47873
3;RAM Intelligent Wooden Shoes;partnerships auxiliary;87330;2020-03-24;2020-03-25;2020-03-25;2020-03-25;76640;45802;59459
4;Unbranded;Credit Card Account Lodge Virtual;32836;2020-03-24;2020-03-25;2020-03-25;2020-03-24;65347;8809;60042
5;strategize withdrawal;AI;26971;2020-03-25;2020-03-25;2020-03-25;2020-03-25;11828;29908;41883
6;Developer Cayman Islands Dollar infomediaries;Implementation Accountability;32262;2020-03-25;2020-03-25;2020-03-24;2020-03-25;906;15386;65583
7;Savings Account Small Frozen Bacon killer;program 1080p system;51043;2020-03-25;2020-03-24;2020-03-25;2020-03-25;14923;32601;90176
8;IB;Fantastic Small Steel Towels;66419;2020-03-25;2020-03-25;2020-03-24;2020-03-24;24498;11419;90929
9;teal bypass;Auto Loan Account capacity auxiliary;35067;2020-03-25;2020-03-25;2020-03-24;2020-03-25;38588;5490;33065
10;Global Supervisor Automotive;open system;88269;2020-03-24;2020-03-25;2020-03-25;2020-03-25;90309;62184;71448
