id;designation_bon_livraison;prix_total_bon_livraison;date_bon_livraison;user_certified;date_certif;num_certif;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;payment;24885;2020-03-25;30775;2020-03-25;payment;2020-03-25;2020-03-25;2020-03-25;17194;73139;80883
2;bandwidth Reactive Credit Card Account;41371;2020-03-25;57038;2020-03-24;National;2020-03-25;2020-03-25;2020-03-25;51039;7526;98993
3;mission-critical Administrator invoice;11775;2020-03-24;8285;2020-03-24;Solomon Islands Dollar;2020-03-24;2020-03-24;2020-03-25;8414;28460;69959
4;whiteboard Myanmar;64633;2020-03-24;90822;2020-03-24;JSON algorithm;2020-03-24;2020-03-25;2020-03-24;3292;72817;60771
5;1080p Licensed;75004;2020-03-25;4071;2020-03-25;Unions;2020-03-24;2020-03-25;2020-03-25;45212;74497;97881
6;HTTP Pizza B2B;44968;2020-03-25;66858;2020-03-25;Chief Lebanese Pound;2020-03-25;2020-03-24;2020-03-25;29371;60169;61860
7;application interactive;22034;2020-03-24;60227;2020-03-25;lavender azure;2020-03-25;2020-03-25;2020-03-25;84428;12986;54835
8;District;34849;2020-03-24;54028;2020-03-25;impactful;2020-03-25;2020-03-25;2020-03-25;75192;22967;35570
9;Automotive Island;7891;2020-03-24;82906;2020-03-25;Kwanza Frozen;2020-03-25;2020-03-25;2020-03-25;2735;66608;57347
10;Ball digital contingency;83926;2020-03-25;93945;2020-03-25;capacitor Response;2020-03-25;2020-03-25;2020-03-25;58062;74690;67706
