id;numero_boxe;date_created;date_updated;user_created;user_updated;user_deleted
1;4021;2020-03-25;2020-03-25;36324;17534;85699
2;50149;2020-03-25;2020-03-24;62026;14862;46633
3;17064;2020-03-24;2020-03-24;62128;95040;52898
4;79719;2020-03-25;2020-03-25;22125;90330;96963
5;50185;2020-03-24;2020-03-25;67959;98361;48708
6;59752;2020-03-25;2020-03-25;5406;59710;53909
7;84630;2020-03-25;2020-03-24;49039;46435;71491
8;70331;2020-03-25;2020-03-25;61817;81652;97080
9;81603;2020-03-25;2020-03-25;80903;56913;58096
10;50219;2020-03-24;2020-03-25;79053;10533;79561
