id;numero;solde_min;solde_max;montant;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;85071;2020-03-25;Chief;75555;2020-03-25;2020-03-25;2020-03-25;72619;10534;14292
2;53286;2020-03-25;Bedfordshire Personal Loan Account;28453;2020-03-25;2020-03-24;2020-03-24;63251;69120;95875
3;942;2020-03-25;Investor visualize;39127;2020-03-25;2020-03-25;2020-03-25;90860;86535;68531
4;17401;2020-03-25;Passage;59620;2020-03-25;2020-03-25;2020-03-24;9306;67730;98489
5;10256;2020-03-25;Investment Account;60413;2020-03-24;2020-03-24;2020-03-25;58830;79052;78227
6;4870;2020-03-25;index;28255;2020-03-25;2020-03-25;2020-03-25;45757;54942;78677
7;24438;2020-03-25;digital tan Intuitive;41631;2020-03-25;2020-03-25;2020-03-24;68657;93666;58176
8;79644;2020-03-25;Balanced Cross-group 24 hour;56506;2020-03-25;2020-03-25;2020-03-25;47879;26496;24068
9;20487;2020-03-24;French Polynesia Lilangeni;37693;2020-03-25;2020-03-25;2020-03-24;22856;39975;77611
10;15337;2020-03-25;Sharable;86841;2020-03-25;2020-03-24;2020-03-24;98025;64994;79770
