id;libelle_cat_chambre;description_cat_chambre;date_created;date_updated;user_created;user_updated;user_deleted
1;bypassing Markets;Freeway Chips content;2020-03-24;2020-03-24;6870;84338;80193
2;indexing Rubber connect;Books Colorado Granite;2020-03-25;2020-03-25;49494;43134;53564
3;Stravenue Organized;Belarus Oval;2020-03-25;2020-03-25;65078;35545;31364
4;withdrawal;Granite Village;2020-03-25;2020-03-25;29995;80215;19350
5;Parkways HDD;Auto Loan Account relationships;2020-03-25;2020-03-25;3611;47480;79374
6;Handmade Wooden Ball;Drive;2020-03-24;2020-03-25;5094;60382;62279
7;revolutionary Metal;hack Bedfordshire;2020-03-25;2020-03-24;9254;26500;66143
8;Optional;Mobility silver Syrian Arab Republic;2020-03-25;2020-03-25;10795;66648;60172
9;microchip Inverse mint green;Paradigm payment Rustic Steel Mouse;2020-03-25;2020-03-25;55951;98039;39301
10;Uzbekistan Sum;demand-driven Afghanistan Latvian Lats;2020-03-25;2020-03-24;25291;96560;4180
