id;code_cat_magasin;libelle_cat_magasin;description_cat_magasin;date_created;date_updated;user_created;user_updated;user_deleted
1;SQL Rupiah withdrawal;empower;green Chair;2020-03-25;2020-03-25;50771;4486;7711
2;Dynamic backing up;Egyptian Pound solid state index;Configuration;2020-03-25;2020-03-25;82296;61032;48199
3;Berkshire systems Fresh;Director;Greenland empower Metal;2020-03-25;2020-03-25;6501;74825;61277
4;Officer flexibility;Executive Dominican Peso;efficient global;2020-03-25;2020-03-25;1281;65952;93824
5;Pines;extend Cape;Croatia gold;2020-03-24;2020-03-25;23730;77426;46313
6;Bike B2B;Bacon cross-platform;panel Brunei Dollar;2020-03-25;2020-03-25;44377;22140;35312
7;compress;Chips Senior Shoes;copying;2020-03-25;2020-03-24;16038;99260;38201
8;Intelligent Concrete Computer;withdrawal;card;2020-03-25;2020-03-25;52824;84451;23423
9;Advanced GB Electronics;revolutionize;program dedicated functionalities;2020-03-25;2020-03-25;79016;14865;15931
10;Frozen Corporate;Avon Cotton;Towels Auto Loan Account;2020-03-25;2020-03-25;91630;64202;66216
