id;code_categ_report;libelle_categ_report;date_created;date_updated;user_created;user_updated;user_deleted
1;Product;Concrete;2020-03-25;2020-03-25;60332;556;3964
2;Licensed Accounts Dynamic;dynamic;2020-03-25;2020-03-25;93732;23711;91416
3;cultivate content;incentivize deposit Gorgeous;2020-03-25;2020-03-25;18859;23783;89322
4;Chief Croatian Kuna Granite;Salad Nevada;2020-03-25;2020-03-25;11062;309;20218
5;Yemen withdrawal Causeway;Buckinghamshire Refined embrace;2020-03-25;2020-03-24;2997;72423;24464
6;array;Rapids Interactions;2020-03-25;2020-03-24;65820;63240;51429
7;Avon e-services;technologies synthesizing Credit Card Account;2020-03-25;2020-03-25;85286;95225;24038
8;Customer Triple-buffered;Cambridgeshire cross-platform;2020-03-25;2020-03-25;87959;71258;18824
9;payment alarm;enhance strategic tertiary;2020-03-25;2020-03-25;5108;63402;8893
10;Fields Nauru Money Market Account;compress infrastructures bottom-line;2020-03-24;2020-03-24;61595;7094;75332
