id;numero_chambre;post_tel_chambre;date_created;date_updated;user_created;user_updated;user_deleted
1;56765;14355;2020-03-25;2020-03-25;5472;88833;7739
2;29241;66198;2020-03-25;2020-03-25;2354;94111;17996
3;31670;44294;2020-03-24;2020-03-25;71154;97029;13053
4;77500;8377;2020-03-25;2020-03-25;16093;40130;63444
5;51761;91338;2020-03-25;2020-03-25;91960;21945;96029
6;8168;11970;2020-03-25;2020-03-25;64694;46631;28774
7;88226;91900;2020-03-25;2020-03-25;71094;53909;42968
8;3856;66989;2020-03-25;2020-03-25;80391;95663;94125
9;33986;63884;2020-03-25;2020-03-25;82918;37171;19380
10;5581;1323;2020-03-24;2020-03-24;83472;4173;69711
