id;libelle_cible;id_user;date_deleted;date_created;date_updated;user_created;user_update;user_delete
1;Eritrea Pakistan ROI;74188;2020-03-24T20:55:17;2020-03-25T16:33:26;2020-03-24T20:03:07;28065;38667;34712
2;Fundamental;81820;2020-03-25T04:02:39;2020-03-25T14:28:13;2020-03-25T08:28:34;35918;69075;19569
3;Awesome Buckinghamshire;98535;2020-03-25T18:45:35;2020-03-25T18:10:54;2020-03-24T22:20:05;22690;78240;41310
4;overriding Gibraltar Pound Checking Account;77111;2020-03-25T16:55:35;2020-03-25T08:18:34;2020-03-25T14:54:02;12077;30066;31324
5;capacitor;20446;2020-03-25T14:37:37;2020-03-25T15:04:46;2020-03-24T21:16:42;65381;21090;94027
6;card;34286;2020-03-25T11:01:36;2020-03-25T15:15:30;2020-03-25T04:30:49;75197;72914;76722
7;Cotton New Israeli Sheqel Unbranded;69061;2020-03-24T23:19:45;2020-03-25T01:45:53;2020-03-25T18:49:59;88415;94830;44244
8;Sleek Plastic Tuna;83374;2020-03-25T02:48:36;2020-03-25T04:57:55;2020-03-25T05:39:33;78759;3124;60134
9;bypass Quality-focused Down-sized;20985;2020-03-25T13:35:25;2020-03-25T09:56:46;2020-03-25T08:00:25;17948;10789;58396
10;impactful bandwidth cross-platform;9935;2020-03-25T05:18:05;2020-03-25T12:13:44;2020-03-25T01:56:15;24621;34876;15674
