id;code_classe_prod;libelle_classe_prod;description_classe_prod;date_created;date_updated;user_created;user_updated;user_deleted
1;Leone customer loyalty;reintermediate Strategist;Down-sized Concrete;2020-03-25;2020-03-25;30725;40526;21327
2;Avon Soap Personal Loan Account;Central parsing Rubber;compressing Handcrafted Cotton Ball;2020-03-25;2020-03-24;20869;68624;61754
3;Albania;Port;Creative;2020-03-25;2020-03-24;52968;51714;59018
4;Principal Jewelery;Berkshire;e-enable definition;2020-03-24;2020-03-25;26261;76225;48028
5;Handmade Steel Cheese connect;primary generate;Home Loan Account actuating extensible;2020-03-25;2020-03-25;54086;60323;61010
6;1080p Camp sexy;focus group Saudi Arabia Berkshire;Personal Loan Account;2020-03-25;2020-03-24;41776;38355;70667
7;Keyboard out-of-the-box;orange synthesize Oman;robust utilize white;2020-03-25;2020-03-24;68389;76184;99110
8;synergize Concrete;Music;Cambridgeshire Practical Steel Pants Zambia;2020-03-25;2020-03-25;78394;65770;15938
9;Tools;Auto Loan Account Bedfordshire;Pizza;2020-03-25;2020-03-25;41108;29258;19529
10;Awesome Frozen Chicken panel;Towels end-to-end redefine;Checking Account Maine HDD;2020-03-25;2020-03-25;13991;71836;33329
