id;numero_compte_gene;libelle_compte_gene;sens_compte_gene;solde_compte_gene;cumul_mouv_debit_compte_gene;cumul_mouv_credit_compte_gene;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;7690;indexing;alarm Georgia;60892;97897;47808;2020-03-25;2020-03-25;2020-03-24;83596;1541;60727
2;37936;Table Florida;New Mexico;13198;49791;66526;2020-03-25;2020-03-25;2020-03-25;9449;94496;30221
3;25634;maximized District;synthesize installation niches;34250;9916;53531;2020-03-24;2020-03-25;2020-03-25;63232;27628;69542
4;79108;Berkshire;primary monitor Investor;82973;23938;81923;2020-03-25;2020-03-24;2020-03-24;22136;5443;80319
5;366;RSS lime Avon;Auto Loan Account Cambridgeshire;65165;49261;44332;2020-03-25;2020-03-24;2020-03-25;8148;99386;98183
6;63351;calculating azure;silver;83522;29928;99410;2020-03-24;2020-03-24;2020-03-24;45950;92937;56119
7;11996;interface Central contingency;Computer program Personal Loan Account;52176;25928;7924;2020-03-25;2020-03-25;2020-03-25;72562;65404;75133
8;81482;challenge circuit;bleeding-edge Intelligent;44771;54768;57556;2020-03-25;2020-03-25;2020-03-24;53372;22347;31109
9;80365;Gold;Plaza;32211;94556;94811;2020-03-25;2020-03-24;2020-03-25;47871;77739;15023
10;54740;strategize relationships;withdrawal azure bandwidth;84816;86988;20099;2020-03-24;2020-03-25;2020-03-25;10546;40598;49117
