id;code_departement;libelle_departement;date_created;date_updated;user_created;user_updated;user_deleted
1;Internal Money Market Account;Horizontal e-tailers;2020-03-24;2020-03-25;98141;75217;64188
2;encoding Networked;compressing metrics;2020-03-25;2020-03-25;16266;80408;12968
3;multimedia;Generic redefine synthesize;2020-03-25;2020-03-25;45348;69920;72944
4;El Salvador;US Dollar Supervisor;2020-03-24;2020-03-25;83775;27010;98519
5;moderator;primary neural Walk;2020-03-25;2020-03-24;73233;20615;82038
6;maroon Concrete;Practical hierarchy encoding;2020-03-25;2020-03-25;36597;42906;50734
7;Dynamic;Movies best-of-breed;2020-03-25;2020-03-25;4367;48031;91823
8;incubate;Configuration USB;2020-03-25;2020-03-25;3187;92448;80737
9;Borders Steel multimedia;hack Cambridgeshire Walk;2020-03-25;2020-03-24;23122;40444;69048
10;Borders Towels;Rhode Island enhance;2020-03-25;2020-03-25;98006;55269;7205
