id;code_dept_srv;libelle_dept_srv;date_created;date_updated;user_created;user_updated;user_deleted
1;Re-engineered;incentivize Incredible Eritrea;2020-03-25;2020-03-24;8239;55061;3650
2;Tools USB;Andorra;2020-03-25;2020-03-25;48239;38222;75520
3;Checking Account Maryland Books;Reunion TCP web-readiness;2020-03-24;2020-03-25;93335;93326;11567
4;Towels;open-source;2020-03-25;2020-03-25;13009;68159;65304
5;extranet Practical;Small Steel Salad Savings Account;2020-03-25;2020-03-25;35896;6553;26313
6;Granite Licensed Fish;expedite Iranian Rial;2020-03-25;2020-03-24;69873;77958;90190
7;Lempira generating Beauty;San Marino Somoni Handmade;2020-03-25;2020-03-25;319;42102;31615
8;target Florida Delaware;SAS Tools circuit;2020-03-25;2020-03-25;7337;21637;82576
9;Money Market Account Swedish Krona;driver innovative sticky;2020-03-25;2020-03-25;2759;30620;2855
10;Finland reboot Technician;users;2020-03-25;2020-03-25;93273;80249;79298
