id;codeiso_dvise;libelle_devise;description_devise;date_created;date_updated;user_created;user_updated;user_deleted
1;proactive;e-markets plug-and-play;Illinois Soap deliverables;2020-03-25;2020-03-25;28238;93121;95997
2;Aruba;ivory Digitized Checking Account;Persistent Tactics Maine;2020-03-25;2020-03-25;90116;25431;57807
3;Oregon;Web time-frame holistic;Cambridgeshire cutting-edge Cotton;2020-03-25;2020-03-25;13538;67491;39033
4;Auto Loan Account Savings Account Heard Island and McDonald Islands;green;Agent calculate Manager;2020-03-25;2020-03-25;94896;44548;53338
5;Web;Massachusetts Forward;New Leu info-mediaries Computers;2020-03-25;2020-03-25;21862;23488;14765
6;SQL;convergence navigate GB;models;2020-03-25;2020-03-25;75056;22171;83775
7;Intelligent;unleash Tuvalu infomediaries;infomediaries;2020-03-25;2020-03-25;4716;54664;84370
8;Louisiana;Rubber;static;2020-03-25;2020-03-25;99773;9141;47422
9;monitor Courts;Personal Loan Account Legacy;Reverse-engineered web-readiness;2020-03-25;2020-03-24;23204;33382;80398
10;payment RSS;transitional silver;UAE Dirham back up;2020-03-24;2020-03-24;39868;46163;10740
