id;code;numero;date;date_paiement;montant;montant_paye;capital;frais;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;database;monitor;2020-03-25;2020-03-25;97198;57525;14076;32163;2020-03-25;2020-03-25;2020-03-25;6265;42777;22201
2;program Generic Fresh Ball withdrawal;model;2020-03-25;2020-03-25;76528;36030;33180;56069;2020-03-25;2020-03-25;2020-03-25;97562;79581;43582
3;Chair invoice Burundi;Leone;2020-03-25;2020-03-25;75201;3959;7051;2941;2020-03-25;2020-03-25;2020-03-25;89716;97672;98852
4;Nebraska;Rwanda Franc blue;2020-03-25;2020-03-25;32389;10093;75367;66496;2020-03-25;2020-03-25;2020-03-24;24433;93049;14035
5;utilisation;mobile;2020-03-25;2020-03-24;80918;44397;96497;30880;2020-03-24;2020-03-24;2020-03-25;94536;33865;87725
6;Global migration Metal;Rhode Island Versatile Savings Account;2020-03-25;2020-03-25;45599;51930;1224;1928;2020-03-24;2020-03-25;2020-03-25;58038;43030;37291
7;Delaware system;monitoring bypassing;2020-03-25;2020-03-25;13143;54511;36481;73724;2020-03-25;2020-03-25;2020-03-25;37594;19063;12056
8;Fresh parsing knowledge user;Program;2020-03-25;2020-03-25;71371;14993;20202;77679;2020-03-25;2020-03-25;2020-03-25;2363;9404;36815
9;Soft Berkshire;whiteboard open architecture matrix;2020-03-25;2020-03-25;16487;21529;75623;37895;2020-03-25;2020-03-24;2020-03-25;89223;6200;77706
10;back-end Personal Loan Account Fish;Compatible;2020-03-24;2020-03-25;78698;62948;79242;5502;2020-03-25;2020-03-25;2020-03-25;11927;31879;37452
