id;libelle;date;montant;sens;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;turquoise Illinois withdrawal;2020-03-24;17203;solid state Credit Card Account Representative;2020-03-25;2020-03-25;2020-03-25;70316;69690;71932
2;Executive;2020-03-25;65727;Customer Arizona;2020-03-25;2020-03-25;2020-03-24;45691;84595;98555
3;Rustic;2020-03-25;21863;leading-edge Manager;2020-03-25;2020-03-25;2020-03-25;47782;43044;44326
4;generating District Berkshire;2020-03-25;46802;Auto Loan Account Checking Account;2020-03-25;2020-03-25;2020-03-25;23991;61879;22270
5;cohesive Unbranded Soft Bacon North Carolina;2020-03-25;51218;Illinois;2020-03-25;2020-03-25;2020-03-25;80260;40552;27783
6;Lebanese Pound Home fuchsia;2020-03-25;35188;Specialist input Web;2020-03-25;2020-03-25;2020-03-24;68969;77950;56446
7;Mauritius Rupee Fresh Toys;2020-03-24;81265;Fresh bypass relationships;2020-03-25;2020-03-25;2020-03-25;21480;57972;11718
8;Canada innovate;2020-03-25;94487;Shoes;2020-03-24;2020-03-25;2020-03-25;48696;63836;54627
9;quantifying;2020-03-25;33945;Home Loan Account;2020-03-25;2020-03-25;2020-03-25;65755;29021;22327
10;Wooden sky blue Fantastic;2020-03-25;17154;Tugrik;2020-03-25;2020-03-25;2020-03-24;57239;95162;17803
