id;code;libelle;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;56311;systematic markets Licensed Wooden Keyboard;2020-03-24;2020-03-25;2020-03-25;28124;11737;57806
2;27040;Incredible Metal Chair Chips visionary;2020-03-25;2020-03-25;2020-03-25;924;42272;12034
3;61488;silver Alaska;2020-03-25;2020-03-24;2020-03-25;22043;9555;37663
4;81109;navigate;2020-03-25;2020-03-24;2020-03-25;31763;55547;83755
5;64618;auxiliary;2020-03-25;2020-03-24;2020-03-25;35631;46069;99273
6;31809;content-based Mobility;2020-03-25;2020-03-25;2020-03-25;71384;76389;66216
7;68625;Cambridgeshire indexing bandwidth;2020-03-25;2020-03-25;2020-03-24;29163;3462;41694
8;23551;Investment Account;2020-03-25;2020-03-25;2020-03-24;37528;58710;3721
9;27181;Sausages model productize;2020-03-25;2020-03-25;2020-03-25;83567;44766;16755
10;35997;New Jersey digital connect;2020-03-25;2020-03-25;2020-03-24;8732;22035;64452
