id;code;libelle;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;ubiquitous Zimbabwe Dollar withdrawal;circuit Wooden;2020-03-25;2020-03-25;2020-03-24;37476;96617;56761
2;Kansas;Tuna Money Market Account Tasty;2020-03-25;2020-03-25;2020-03-25;53108;30166;58271
3;Tennessee;Ridges Optimized;2020-03-25;2020-03-25;2020-03-24;41127;97467;83886
4;Libyan Arab Jamahiriya;Computers;2020-03-25;2020-03-25;2020-03-25;46275;98425;6263
5;Expressway;service-desk;2020-03-25;2020-03-24;2020-03-25;70012;51204;31454
6;Convertible Marks;Savings Account;2020-03-25;2020-03-25;2020-03-25;32112;15314;5372
7;proactive Alabama Adaptive;Macedonia;2020-03-25;2020-03-24;2020-03-25;40163;1261;32899
8;Plastic Refined Computer;Borders Home Loan Account;2020-03-25;2020-03-25;2020-03-25;88532;19148;19860
9;Salad;capacitor;2020-03-25;2020-03-25;2020-03-25;16920;37469;36042
10;Incredible;invoice;2020-03-25;2020-03-24;2020-03-25;18276;26666;58935
