id;code_etat;libelle_etat;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;parse Berkshire content-based;Licensed Sleek Wooden Sausages;2020-03-25;2020-03-25;2020-03-25;22409;33961;62603
2;IB;Tasty Frozen Tuna PNG Vietnam;2020-03-24;2020-03-25;2020-03-25;43128;28096;97017
3;Kids;bypass panel;2020-03-25;2020-03-25;2020-03-25;34207;83908;64552
4;compressing motivating neural;Macedonia;2020-03-25;2020-03-25;2020-03-24;76382;43383;62422
5;Tanzania Shoes Indiana;efficient azure;2020-03-25;2020-03-25;2020-03-25;48632;60623;92781
6;invoice Intranet Trace;Automotive;2020-03-25;2020-03-25;2020-03-25;41124;40188;82740
7;Rustic Plastic Pants Re-engineered incubate;hacking;2020-03-25;2020-03-25;2020-03-25;27751;57519;41121
8;ivory wireless;system communities Loop;2020-03-25;2020-03-25;2020-03-24;55225;62062;82050
9;human-resource function;Graphic Interface;2020-03-25;2020-03-25;2020-03-25;95135;87434;58007
10;Brand Intelligent;Ergonomic Cotton Bacon;2020-03-24;2020-03-25;2020-03-24;82635;29682;28101
