id;code;libelle;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;17298;Lead Small Frozen Computer extranet;2020-03-24;2020-03-25;2020-03-24;74165;29872;39893
2;46602;pink structure;2020-03-24;2020-03-25;2020-03-25;53509;50812;86065
3;25331;Practical Soft Mouse;2020-03-25;2020-03-25;2020-03-25;18002;80695;92019
4;8650;Practical Bedfordshire;2020-03-25;2020-03-25;2020-03-25;29126;70276;73409
5;22339;THX deposit;2020-03-24;2020-03-25;2020-03-25;25170;97073;39743
6;38229;customer loyalty sensor Awesome;2020-03-25;2020-03-25;2020-03-25;27375;98176;91449
7;92118;Car Automotive;2020-03-25;2020-03-25;2020-03-25;49955;50257;48253
8;41634;Facilitator;2020-03-25;2020-03-24;2020-03-25;89598;36726;41805
9;61665;Plastic;2020-03-25;2020-03-25;2020-03-25;13907;28262;35874
10;88448;generating;2020-03-25;2020-03-25;2020-03-25;81221;12074;19386
