id;designation;montant_fact;montant_paye;montant_global;moratoire;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;best-of-breed robust;33754;6084;39874;true;2020-03-25;2020-03-25;2020-03-25;12047;97998;79059
2;Cambridgeshire;86369;29076;37191;false;2020-03-24;2020-03-25;2020-03-25;30657;51730;79967
3;Identity quantifying Shoes;75517;77177;75354;true;2020-03-25;2020-03-24;2020-03-24;65331;63657;3218
4;Analyst bypass Poland;10809;30488;19141;false;2020-03-25;2020-03-24;2020-03-25;13087;68940;29422
5;Home Loan Account;91443;3461;31954;false;2020-03-25;2020-03-25;2020-03-25;63915;22773;69269
6;Books Luxembourg;45427;61087;9258;false;2020-03-25;2020-03-25;2020-03-25;14112;71526;57403
7;Officer;760;74844;40489;true;2020-03-25;2020-03-25;2020-03-25;29848;44893;69511
8;sensor Tasty;42360;93363;64437;false;2020-03-25;2020-03-25;2020-03-25;80138;51102;73135
9;iterate calculate deposit;76300;66768;71229;true;2020-03-25;2020-03-25;2020-03-25;74343;53168;35466
10;Outdoors;31540;95959;88647;false;2020-03-25;2020-03-25;2020-03-25;13472;7437;89599
