id;libelle_fonctionnalite;description_fonctionnalite;date_created;date_updated;user_created;user_updated;user_deleted
1;Wooden Generic Operative;Lithuania Realigned;2020-03-25;2020-03-25;77895;35928;5379
2;Producer;Nebraska Bacon partnerships;2020-03-25;2020-03-25;57140;57836;66558
3;Profound Berkshire toolset;HDD Auto Loan Account capability;2020-03-25;2020-03-25;44420;64581;74020
4;quantifying Cambridgeshire;Profit-focused Intelligent Concrete Soap;2020-03-24;2020-03-25;49115;85516;70612
5;program Savings Account;metrics;2020-03-25;2020-03-25;37137;27903;10014
6;communities card;ADP;2020-03-25;2020-03-25;74916;59237;71967
7;Granite wireless;Buckinghamshire;2020-03-25;2020-03-24;74229;59667;28566
8;teal;Table Developer Brand;2020-03-25;2020-03-24;18868;73263;31727
9;Spain global;parse Hawaii;2020-03-25;2020-03-24;60712;40918;27928
10;emulation;Security Small Metal Shirt;2020-03-25;2020-03-25;18627;7264;15537
