id;code_forme_prod;libelle_forme_prod;date_created;date_updated;user_created;user_updated;user_deleted
1;card Pants;Macedonia;2020-03-24;2020-03-25;30158;93444;6880
2;PCI;magenta;2020-03-25;2020-03-24;9128;4630;31500
3;Multi-tiered generating;Universal Table;2020-03-25;2020-03-25;78451;2358;67848
4;schemas;New Leu Hryvnia end-to-end;2020-03-25;2020-03-24;63180;96131;73334
5;Jamaica;architectures;2020-03-25;2020-03-25;3640;89468;77014
6;cross-platform Bedfordshire;Regional experiences Grocery;2020-03-25;2020-03-24;16636;99185;63961
7;productize;Practical Granite Pizza bypassing;2020-03-24;2020-03-24;91959;27880;93230
8;Turkmenistan Soap;Internal mission-critical;2020-03-24;2020-03-24;67923;46512;60177
9;Analyst;white Causeway Louisiana;2020-03-24;2020-03-24;72252;47411;66564
10;Burgs;RAM Licensed Concrete Fish enhance;2020-03-25;2020-03-25;8645;72496;1245
