id;code_groupe_san;libelle_groupe_san;description_groupe_san;date_created;date_updated;user_created;user_updated;user_deleted
1;99694;Maine National;silver withdrawal;2020-03-24;2020-03-25;19881;63074;94591
2;90993;maroon communities connect;core invoice;2020-03-25;2020-03-25;48265;59928;22330
3;25376;Tenge;framework;2020-03-25;2020-03-25;64055;89521;43866
4;16043;bypassing Savings Account Borders;calculate;2020-03-25;2020-03-24;40188;65883;20097
5;35935;Bedfordshire;Connecticut EXE;2020-03-25;2020-03-25;64770;58499;30565
6;61055;customized;Coordinator Orchestrator;2020-03-24;2020-03-25;44144;84258;6010
7;14842;applications;seize;2020-03-24;2020-03-24;60298;40471;23007
8;20697;orchestrate Armenia Grocery;Convertible Marks Mill ubiquitous;2020-03-24;2020-03-25;18598;17128;98200
9;18453;Baby;B2C Trace Beauty;2020-03-25;2020-03-25;19864;65041;71905
10;40583;SAS Agent demand-driven;USB purple supply-chains;2020-03-25;2020-03-25;37979;88525;46595
