id;libelle;valeur_aquisition;date_aquisition;valeur_net_comptable;montant;duree;nbre_echeance;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;Global;21273;2020-03-25;96249;76688;15775;71251;2020-03-25;2020-03-25;2020-03-24;29306;14313;82473
2;front-end Handmade Fresh Computer;66392;2020-03-25;12256;84696;40292;65318;2020-03-25;2020-03-25;2020-03-25;94937;46258;67899
3;Rustic synthesize Savings Account;39294;2020-03-25;36439;61199;3619;18935;2020-03-24;2020-03-25;2020-03-25;10645;44881;3510
4;Accountability Direct Rubber;53974;2020-03-25;93326;37888;32776;32625;2020-03-25;2020-03-24;2020-03-25;28282;69181;58006
5;digital orchid;74931;2020-03-25;72743;89899;16892;30391;2020-03-24;2020-03-25;2020-03-25;29977;83306;89362
6;Designer Vatu Engineer;94750;2020-03-25;50953;55613;72334;7372;2020-03-25;2020-03-24;2020-03-25;57284;53590;18686
7;e-business frictionless systematic;44781;2020-03-25;91617;14915;79290;89747;2020-03-25;2020-03-25;2020-03-25;69591;73686;45455
8;Port Central;19601;2020-03-25;64600;64058;69842;88228;2020-03-25;2020-03-25;2020-03-24;54446;60667;89111
9;envisioneer Money Market Account;76004;2020-03-25;6008;66911;67845;80278;2020-03-25;2020-03-25;2020-03-25;32951;6272;99172
10;plum Coordinator brand;82395;2020-03-25;15731;98939;86084;61028;2020-03-25;2020-03-25;2020-03-25;23021;92080;39239
