id;code;date;quantite_entrant;quantite_initiale;quantite_sortant;nombre_sortant;nombre_livraison;nombre_retour
1;infomediaries;Practical generating;75047;42590;50656;55045;91628;50200
2;Licensed Metal Sausages Steel;card Guatemala;99816;73687;51127;65178;76143;66813
3;Designer invoice;Chair AI Cambridgeshire;47884;76136;98506;19780;53376;16960
4;Facilitator web-enabled intangible;orange out-of-the-box;50588;41433;12219;7905;23472;24415
5;overriding synergies Cuban Peso Peso Convertible;forecast;4628;46525;57319;83493;9126;53993
6;deposit Bedfordshire;invoice programming;21217;51286;49524;58883;974;5270
7;forecast Tasty;synthesize;83119;70050;47162;89255;66933;67509
8;Analyst;Ergonomic Fresh Pants;3398;26581;31711;21118;38534;85750
9;Berkshire Togo;virtual Plastic bluetooth;91999;85045;88848;79051;30672;72001
10;Oregon Streamlined;Berkshire invoice reintermediate;64400;55311;63403;67111;70592;29946
