id;libelle_item;description_item;date_created;date_updated;user_created;user_updated;user_deleted
1;Supervisor convergence;customer loyalty azure;2020-03-25;2020-03-25;92381;50359;19723
2;knowledge user extend Lao People's Democratic Republic;De-engineered;2020-03-25;2020-03-25;63865;13740;21064
3;killer Buckinghamshire New York;Guadeloupe navigate Sleek Concrete Pizza;2020-03-25;2020-03-25;74546;53112;17687
4;Generic UAE Dirham Towels;Avon;2020-03-25;2020-03-25;63482;39691;71953
5;purple invoice;Stream;2020-03-25;2020-03-25;75561;86489;99534
6;partnerships intermediate compressing;frictionless;2020-03-25;2020-03-25;45215;97835;88284
7;Vista;Personal Loan Account Shirt array;2020-03-25;2020-03-25;24981;90643;2593
8;Salad Keyboard;Generic Fresh Soap Refined Fresh Chair New York;2020-03-25;2020-03-25;45253;59093;21179
9;invoice solution open-source;program Pizza;2020-03-25;2020-03-25;63160;36749;79527
10;context-sensitive;Gardens;2020-03-25;2020-03-25;43367;83389;14802
