id;libelle_jour;date_created;date_updated;user_created;user_updated;user_deleted
1;Nebraska;2020-03-25;2020-03-25;99685;8695;23978
2;TCP;2020-03-25;2020-03-24;12181;56773;47381
3;Mauritius Rupee secondary grey;2020-03-25;2020-03-25;91806;93437;7605
4;Utah primary;2020-03-25;2020-03-25;37920;28542;33788
5;multi-byte;2020-03-25;2020-03-24;4021;30079;71440
6;Handmade;2020-03-25;2020-03-24;45496;59692;46152
7;intermediate Ethiopian Birr integrate;2020-03-25;2020-03-25;98363;8135;78305
8;hacking;2020-03-25;2020-03-24;73339;55708;46840
9;THX Liaison;2020-03-25;2020-03-25;97654;44518;90460
10;copy;2020-03-25;2020-03-25;56386;63132;89981
