id;libelle_jour_ferie;date_jour_ferie;date_created;date_updated;user_created;user_updated;user_deleted
1;parsing synthesize;2020-03-25;2020-03-25;2020-03-25;57515;45196;73298
2;Island International Isle;2020-03-25;2020-03-25;2020-03-24;76785;21895;60339
3;Compatible efficient Credit Card Account;2020-03-24;2020-03-24;2020-03-25;93553;49139;20021
4;Borders;2020-03-25;2020-03-25;2020-03-25;71355;47431;38510
5;Phased Bike cohesive;2020-03-25;2020-03-24;2020-03-25;32281;98061;88608
6;copying;2020-03-25;2020-03-25;2020-03-25;85378;86577;95752
7;streamline Factors;2020-03-25;2020-03-24;2020-03-25;48698;87130;74262
8;Concrete Lights;2020-03-25;2020-03-25;2020-03-25;76950;28950;33135
9;Electronics;2020-03-25;2020-03-25;2020-03-25;8566;62227;64727
10;Chief leverage Shirt;2020-03-25;2020-03-24;2020-03-25;72232;90816;73594
