id;produit;quantite;prix_unitaire;date_created;date_updated;user_created;user_updated;user_deleted
1;innovative compressing;43974;29107;2020-03-24;2020-03-25;6222;38487;10981
2;Cambridgeshire Intelligent Steel Ball;71398;49906;2020-03-24;2020-03-25;45270;25771;78
3;demand-driven client-server;26344;65719;2020-03-25;2020-03-25;14556;1487;59377
4;Personal Loan Account strategize;74933;34003;2020-03-25;2020-03-24;4312;27157;74429
5;Identity Credit Card Account Consultant;98508;96766;2020-03-25;2020-03-25;92970;95371;11007
6;moderator Gorgeous;69127;18440;2020-03-24;2020-03-25;80308;38559;62977
7;methodical Gorgeous Configuration;99298;84439;2020-03-25;2020-03-25;97079;99529;68477
8;holistic Infrastructure applications;53645;90886;2020-03-25;2020-03-25;74003;77506;17539
9;Tools black Enterprise-wide;19235;64618;2020-03-25;2020-03-25;3410;71105;94164
10;Beauty;98564;62054;2020-03-25;2020-03-25;64201;50439;42452
