id;designation;quantite;prix_unitaire;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;TCP parsing Credit Card Account;41033;82965;2020-03-25;2020-03-25;2020-03-25;45566;23498;82515
2;synergize;78031;90552;2020-03-25;2020-03-25;2020-03-25;99907;16816;96045
3;Radial;1718;9440;2020-03-25;2020-03-25;2020-03-24;41065;62660;83006
4;synthesize action-items redundant;10623;76674;2020-03-25;2020-03-25;2020-03-25;73900;20871;57321
5;protocol invoice;59357;84786;2020-03-25;2020-03-25;2020-03-25;87214;82842;58489
6;Persevering ADP Concrete;8355;57280;2020-03-25;2020-03-25;2020-03-25;4270;52811;38848
7;parsing index;77320;96502;2020-03-25;2020-03-25;2020-03-25;16099;19361;73908
8;Delaware;43641;55270;2020-03-25;2020-03-24;2020-03-25;91787;37964;127
9;Infrastructure Compatible invoice;16738;4119;2020-03-25;2020-03-25;2020-03-25;16578;42328;48334
10;Bacon Checking Account Developer;66464;19876;2020-03-24;2020-03-25;2020-03-24;78764;78655;19758
