id;numero_lit;description_lit;date_created;date_updated;user_created;user_updated;user_deleted
1;71892;payment one-to-one killer;2020-03-25;2020-03-25;85731;40611;53051
2;76106;French Guiana;2020-03-25;2020-03-24;28739;62795;51777
3;6902;Licensed;2020-03-25;2020-03-24;65959;31565;86797
4;36494;Netherlands Antilles;2020-03-25;2020-03-25;21736;35523;94266
5;19217;Cotton back up;2020-03-25;2020-03-25;57587;17428;72236
6;53771;invoice invoice;2020-03-25;2020-03-25;1079;77388;89765
7;34708;proactive whiteboard Maryland;2020-03-24;2020-03-24;40475;53443;12388
8;79704;Towels Home Loan Account payment;2020-03-25;2020-03-25;22392;67885;98905
9;33870;Car COM;2020-03-25;2020-03-25;99461;90408;95854
10;77230;quantify;2020-03-25;2020-03-25;91151;16846;618
