id;numero_mach_autorise;adresse_mac_mach_autorise;date_created;date_updated;user_created;user_updated;user_deleted
1;Total;Product;2020-03-25;2020-03-24;35195;19910;86752
2;payment software structure;synthesize;2020-03-25;2020-03-24;60653;52282;19830
3;application tan;compressing Money Market Account;2020-03-25;2020-03-25;55284;15468;86511
4;Total;Customer;2020-03-25;2020-03-24;70190;2720;312
5;Plastic Future Face to face;scale;2020-03-25;2020-03-25;73690;21871;74443
6;copy programming gold;Heard Island and McDonald Islands;2020-03-25;2020-03-25;43509;86926;64193
7;leading-edge;partnerships;2020-03-25;2020-03-25;25128;59092;8737
8;Car teal;Secured Texas Arizona;2020-03-25;2020-03-25;3877;39435;1372
9;productize Jamaican Dollar;Soft pricing structure generate;2020-03-25;2020-03-25;43168;57522;36077
10;maximized;Fantastic Cotton Salad;2020-03-25;2020-03-25;68317;61270;181
