id;code_mode_regle;libelle_mode_regle;date_created;date_updated;user_created;user_updated;user_deleted
1;coherent Industrial Investment Account;Checking Account;2020-03-24;2020-03-25;85286;25671;74003
2;Wooden;Square;2020-03-25;2020-03-25;13706;83557;94386
3;purple;experiences;2020-03-25;2020-03-25;69181;15456;47811
4;Peru HTTP;Computer compressing Guarani;2020-03-25;2020-03-25;8887;12553;209
5;Curve;empower;2020-03-25;2020-03-25;64655;78069;55871
6;Kiribati Unbranded Cotton Chicken;transform front-end;2020-03-24;2020-03-25;45289;30932;87174
7;Designer solutions;Coordinator asynchronous index;2020-03-25;2020-03-25;37312;80690;57585
8;Interactions vertical engineer;contextually-based SQL Uganda Shilling;2020-03-24;2020-03-25;42921;45404;6375
9;Investor;incentivize;2020-03-25;2020-03-25;78984;14763;22144
10;Indian Rupee Russian Ruble;Saint Martin;2020-03-25;2020-03-24;86660;32113;23040
