id;libelle_monnaie;montant_monnaie;nature_monnaie;date_created;date_updated;user_created;user_updated;user_deleted
1;IB Principal;67156;Sri Lanka Rupee Savings Account;2020-03-25;2020-03-24;11887;89576;17011
2;Handcrafted Steel Mouse;55207;bi-directional Customizable;2020-03-24;2020-03-25;46559;13724;16197
3;withdrawal SQL Solutions;51048;Tennessee;2020-03-25;2020-03-25;59027;53677;64206
4;Chips COM;3212;Investment Account;2020-03-25;2020-03-24;98248;72096;28571
5;protocol;89397;Avon Minnesota enable;2020-03-25;2020-03-25;74476;12082;69141
6;Data Fields;84228;violet bluetooth;2020-03-24;2020-03-25;45973;14234;40078
7;online Savings Account navigate;37285;Incredible Soft Table;2020-03-25;2020-03-25;82045;28131;52344
8;Tasty;89820;Grocery Steel JBOD;2020-03-25;2020-03-25;79299;38556;30320
9;Plastic Keyboard;54575;index transmitting JSON;2020-03-25;2020-03-25;80179;96225;92620
10;Louisiana Industrial;15543;SAS Marketing compress;2020-03-24;2020-03-25;96814;50240;896
