id;code_mvt;libelle_mvt;stock_entrant;stock_sortant
1;Refined Soft Car Central;navigating AGP;44336;75564
2;systems evolve sticky;invoice;76087;88369
3;Keyboard Wisconsin;deposit invoice program;4492;31970
4;communities;Keyboard portals;33205;47773
5;Small;Realigned e-commerce;48556;35125
6;Dong generate;transmitting parse;9821;702
7;Innovative;Metal ivory feed;70268;72086
8;Handmade;JSON capacitor;11855;37544
9;client-driven Paradigm collaborative;Streamlined Singapore Dollar Home;57092;53053
10;Incredible Home Loan Account;lavender Metal implement;5018;48183
