id;numero;libelle;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;46119;Data Codes specifically reserved for testing purposes;2020-03-24;2020-03-24;2020-03-25;99100;79031;80911
2;309;Villages;2020-03-25;2020-03-25;2020-03-24;67310;91293;95533
3;50413;alarm Savings Account;2020-03-25;2020-03-24;2020-03-25;83525;61704;6301
4;28959;Expanded paradigm Architect;2020-03-25;2020-03-25;2020-03-25;3243;63601;48802
5;89233;Ergonomic Soft Ball orchid online;2020-03-25;2020-03-25;2020-03-25;66052;31492;72373
6;45620;functionalities;2020-03-25;2020-03-25;2020-03-25;76166;93065;59966
7;15746;fuchsia navigate Licensed;2020-03-25;2020-03-25;2020-03-25;92620;83377;29933
8;92144;Tactics;2020-03-25;2020-03-25;2020-03-25;79384;4527;18877
9;70126;Ball;2020-03-24;2020-03-25;2020-03-25;89688;68854;21777
10;6477;instruction set;2020-03-25;2020-03-25;2020-03-25;6209;70289;28949
