id;libelle;date;montant;taxe;num_marche;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;2020-03-24;2020-03-24;79765;65994;bandwidth digital;2020-03-25;2020-03-25;2020-03-25;89145;66789;95028
2;2020-03-25;2020-03-25;22800;1791;Right-sized Borders Buckinghamshire;2020-03-25;2020-03-25;2020-03-25;11119;7582;28381
3;2020-03-25;2020-03-25;98878;92568;Shoes;2020-03-25;2020-03-25;2020-03-25;48350;32654;15722
4;2020-03-25;2020-03-25;83891;8788;XSS mint green bandwidth;2020-03-24;2020-03-24;2020-03-25;96274;50091;87320
5;2020-03-25;2020-03-25;18475;90468;backing up bypassing Checking Account;2020-03-25;2020-03-25;2020-03-25;80855;59795;1720
6;2020-03-25;2020-03-25;2949;54496;Directives;2020-03-25;2020-03-24;2020-03-25;52921;71750;6617
7;2020-03-25;2020-03-25;77510;51014;Small;2020-03-25;2020-03-25;2020-03-25;15551;20378;28969
8;2020-03-25;2020-03-25;15394;9873;SAS Home Loan Account;2020-03-25;2020-03-25;2020-03-25;71150;17625;35888
9;2020-03-24;2020-03-25;14223;11890;Fresh;2020-03-25;2020-03-24;2020-03-24;96574;76431;82454
10;2020-03-25;2020-03-25;63227;24995;SMTP Chief Awesome;2020-03-25;2020-03-25;2020-03-25;88583;15458;46310
