id;libelle;date;montant;taxe;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;Mexican Peso Mexican Unidad de Inversion (UDI);2020-03-25;58260;61653;2020-03-25;2020-03-25;2020-03-24;5814;76957;13968
2;Developer actuating;2020-03-25;72957;20669;2020-03-25;2020-03-25;2020-03-25;9517;88538;72283
3;olive Sausages;2020-03-25;84943;53125;2020-03-25;2020-03-25;2020-03-25;71439;92824;49299
4;Rustic architect;2020-03-24;7852;14208;2020-03-25;2020-03-25;2020-03-25;72985;61127;56028
5;Rhode Island;2020-03-25;67068;37047;2020-03-25;2020-03-24;2020-03-25;77070;33898;2082
6;Ergonomic Triple-buffered infrastructures;2020-03-25;48592;94429;2020-03-25;2020-03-24;2020-03-25;8476;67835;73197
7;Implemented invoice 1080p;2020-03-25;87394;15477;2020-03-25;2020-03-25;2020-03-25;10368;60017;19953
8;Rustic eyeballs Montana;2020-03-25;76856;41907;2020-03-25;2020-03-25;2020-03-25;9431;32328;32832
9;productivity holistic;2020-03-25;78834;31221;2020-03-25;2020-03-25;2020-03-25;26500;32328;39907
10;Future Outdoors Personal Loan Account;2020-03-24;44349;27512;2020-03-25;2020-03-25;2020-03-25;35028;87095;32658
