id;code_param_sys;libelle_param_sys;date_created;date_updated;user_created;user_updated;user_deleted
1;Incredible;olive;2020-03-24;2020-03-25;99458;73069;67818
2;granular bandwidth Security;redundant;2020-03-25;2020-03-24;71874;75572;74090
3;Movies Belarussian Ruble Strategist;flexibility;2020-03-24;2020-03-24;77238;57952;20787
4;Soft Sausages;Towels Front-line navigate;2020-03-25;2020-03-24;42279;99526;65995
5;schemas Berkshire;Rustic global;2020-03-25;2020-03-25;33927;83759;57286
6;Sleek Concrete Salad Investment Account Operations;overriding human-resource clicks-and-mortar;2020-03-25;2020-03-24;83775;80694;54108
7;port conglomeration;Cambridgeshire;2020-03-24;2020-03-25;9312;79786;87806
8;circuit withdrawal Mandatory;expedite;2020-03-25;2020-03-25;36216;48273;15768
9;back up hacking payment;Table;2020-03-25;2020-03-25;28689;46112;59956
10;plum tan Representative;attitude;2020-03-25;2020-03-25;50694;73551;55944
