id;libelle_plateau;description_plateau;date_created;date_updated;user_created;user_updated;user_deleted
1;array Plastic;intranet Moldova;2020-03-25;2020-03-24;83565;619;30198
2;background Money Market Account;Computer Optional Cambridgeshire;2020-03-25;2020-03-25;27916;68457;1073
3;copying cohesive Nebraska;program Licensed Cotton Pizza AGP;2020-03-24;2020-03-24;72460;92983;10939
4;deposit Cambridgeshire Aruba;District Chief Roads;2020-03-24;2020-03-25;71031;32891;78086
5;portals multimedia;1080p payment;2020-03-25;2020-03-25;96696;15177;38657
6;Denar embrace FTP;Burundi Summit alarm;2020-03-25;2020-03-25;93919;85573;67401
7;Paradigm;internet solution Toys Bedfordshire;2020-03-25;2020-03-25;31648;61538;92737
8;Rand Namibia Dollar;Kids alarm;2020-03-25;2020-03-25;8750;85784;16726
9;Robust Mandatory Configuration;Direct capacitor;2020-03-24;2020-03-25;70493;69856;83769
10;applications;Shirt quantifying;2020-03-25;2020-03-25;94897;38336;21651
