id;code;libelle;quantite_stock;stock_provisoire;tva;prix_vente_unitaire;code_barre;seuil
1;conglomeration Marketing solutions;Health Future Grocery;76924;25541;true;51278;Accountability XSS Iowa;58092
2;Movies Division;Trafficway auxiliary Myanmar;91188;45380;true;86195;Soap;22622
3;Fantastic Plastic Shirt;calculate sexy;17761;60778;true;16952;override web-readiness 1080p;37721
4;back up;Sleek Fresh Cheese Facilitator;64198;15745;false;46806;Gloves transitional;51676
5;non-volatile Buckinghamshire;hack SMTP;36719;30088;false;3019;override clear-thinking;1228
6;bypass;Field;44535;91660;false;94807;Maine;39539
7;HDD Multi-channelled;supply-chains;21539;32056;false;2242;indexing Netherlands Antillian Guilder FTP;18839
8;Soft Keyboard;Frozen Chair;6710;33255;false;23045;Steel instruction set;29677
9;background Polarised Pants;quantify Music Surinam Dollar;49704;59545;true;20166;Operations National;633
10;Keyboard;Auto Loan Account strategize grow;97003;38238;false;93810;calculate enterprise;71350
