id;code;libelle;description;obligatoire;date_deleted;date_created;date_updated;user_created;user_update;user_delete
1;Brand;Pataca Vista Cambridgeshire;incremental Accounts;true;2020-03-25T12:21:12;2020-03-25T15:26:06;2020-03-25T09:15:43;28874;85197;12914
2;HDD;Ridge;e-tailers open-source;false;2020-03-25T04:44:08;2020-03-24T23:38:52;2020-03-25T02:25:40;67087;74174;72684
3;focus group Future;Buckinghamshire Mouse;Avon Gorgeous Associate;false;2020-03-25T01:22:29;2020-03-25T08:15:33;2020-03-25T04:50:40;94228;28104;19982
4;withdrawal maroon;Associate;schemas calculate;false;2020-03-25T08:30:10;2020-03-25T02:06:40;2020-03-25T01:20:15;27457;33259;97398
5;Checking Account Sweden ivory;navigating Garden;wireless orchid;true;2020-03-25T16:25:04;2020-03-25T02:01:01;2020-03-25T19:57:45;23628;87495;20451
6;New York;Lithuanian Litas Executive;payment USB payment;false;2020-03-25T10:09:25;2020-03-24T23:20:16;2020-03-25T06:23:14;207;19248;81342
7;Nigeria withdrawal Handmade;Keyboard Serbian Dinar;mint green;false;2020-03-25T17:18:59;2020-03-25T10:02:11;2020-03-25T08:53:26;90128;72590;23371
8;Savings Account;compress;Refined;false;2020-03-24T22:04:01;2020-03-25T15:45:12;2020-03-25T13:04:38;98273;30049;38991
9;Washington Bike;system;Saudi Riyal Engineer customer loyalty;true;2020-03-25T16:51:21;2020-03-24T21:50:09;2020-03-25T11:55:07;94418;52850;84342
10;XML De-engineered Reactive;cyan Clothing;Strategist Buckinghamshire Road;false;2020-03-25T17:10:37;2020-03-25T08:33:45;2020-03-25T16:47:24;81066;26137;82795
