id;code;libelle;date_deleted;date_created;date_updated;user_created;user_update;user_delete
1;Representative Pizza Optimization;auxiliary Fantastic Concrete Mouse;2020-03-25T03:20:30;2020-03-24T23:13:23;2020-03-25T05:54:42;68223;25077;11854
2;strategic;Mission;2020-03-25T01:47:17;2020-03-24T20:18:20;2020-03-25T14:30:34;29563;41632;27388
3;content-based;Handcrafted Missouri;2020-03-25T01:38:05;2020-03-25T16:36:57;2020-03-25T04:43:59;48187;15227;76311
4;Mouse Frozen;New Mexico;2020-03-25T04:40:47;2020-03-25T02:28:32;2020-03-24T21:33:26;22922;92173;58469
5;web-readiness Borders port;Regional turn-key;2020-03-25T13:44:33;2020-03-25T00:19:03;2020-03-25T02:54:56;63845;36141;21580
6;array hack toolset;panel;2020-03-25T20:02:14;2020-03-25T00:24:25;2020-03-25T15:13:40;80535;38756;58636
7;solid state Palau copying;recontextualize Centralized;2020-03-25T02:53:47;2020-03-25T11:08:53;2020-03-25T06:57:08;68455;60841;2023
8;paradigm;deposit Enterprise-wide Sausages;2020-03-25T00:08:16;2020-03-25T08:17:03;2020-03-25T01:23:39;76226;7677;87864
9;responsive Soap hacking;Credit Card Account efficient;2020-03-24T20:21:55;2020-03-25T08:36:32;2020-03-25T04:01:11;12495;52213;35410
10;Sleek Rubber Computer Future;Bike Reverse-engineered Metal;2020-03-25T01:22:51;2020-03-25T09:01:51;2020-03-25T08:08:51;68449;24103;1356
