id;code_region;libelle_region;date_created;date_updated;user_created;user_updated;user_deleted
1;International Movies;Intelligent Wooden Gloves Jordanian Dinar;2020-03-25;2020-03-25;4408;95589;96729
2;Managed;compress De-engineered Savings Account;2020-03-25;2020-03-25;77522;6104;10806
3;Personal Loan Account;override Refined;2020-03-25;2020-03-25;72196;85945;78567
4;Awesome Wooden Hat;Intranet deposit solid state;2020-03-24;2020-03-24;86243;16813;1844
5;navigating Home Loan Account Internal;Games;2020-03-25;2020-03-25;7322;50821;94012
6;Division;vortals withdrawal gold;2020-03-24;2020-03-25;12045;37402;73954
7;open-source;indexing calculate connecting;2020-03-25;2020-03-25;65451;20598;40705
8;teal zero administration;Fish;2020-03-25;2020-03-25;41672;1851;65463
9;Refined virtual;United States Minor Outlying Islands;2020-03-25;2020-03-24;4579;52449;47538
10;Rubber Connecticut;Serbia backing up;2020-03-25;2020-03-25;14996;65688;50847
