id;numero;resultat;date;description;date_created;date_updated;user_created;user_updated;user_deleted
1;Configurable benchmark Digitized;capability Table;2020-03-24;payment;2020-03-24;2020-03-24;22450;87888;26526
2;Front-line transform;Metal;2020-03-25;invoice Missouri;2020-03-25;2020-03-24;80223;48471;66561
3;Manager Principal Shoes;solution-oriented primary;2020-03-25;white hack;2020-03-25;2020-03-24;34915;41426;94132
4;internet solution;6th generation;2020-03-24;Thailand Identity;2020-03-25;2020-03-25;75444;86324;9297
5;Handmade Field Investor;deposit;2020-03-25;facilitate;2020-03-25;2020-03-25;13829;97969;88538
6;generating Health deposit;Forward enable;2020-03-25;visionary yellow Direct;2020-03-25;2020-03-25;6273;10324;42328
7;deposit neural magenta;Directives;2020-03-25;Ball Auto Loan Account;2020-03-25;2020-03-24;19773;69116;64125
8;syndicate Horizontal;magenta;2020-03-25;yellow Table;2020-03-24;2020-03-25;79537;27041;71850
9;Factors plug-and-play Awesome Soft Bike;payment;2020-03-25;Unbranded;2020-03-25;2020-03-25;19279;33334;16512
10;hub;pixel Handmade;2020-03-25;Tasty;2020-03-25;2020-03-25;79883;65802;23090
