id;code;libelle;sens;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;48298;Syrian Arab Republic schemas;sticky primary;2020-03-25;2020-03-25;2020-03-25;67417;4388;26778
2;79672;Keyboard Web Factors;Games bypassing best-of-breed;2020-03-25;2020-03-25;2020-03-25;5305;86790;44445
3;36562;index payment Mouse;Kip Savings Account;2020-03-25;2020-03-25;2020-03-25;24959;37766;55622
4;51673;deposit middleware;Idaho B2C;2020-03-25;2020-03-24;2020-03-25;73726;95565;42727
5;36902;extend auxiliary Gateway;Operative evolve;2020-03-25;2020-03-25;2020-03-25;54610;40617;42987
6;82612;SQL;Developer;2020-03-25;2020-03-25;2020-03-24;44643;76396;54370
7;55955;microchip;Nebraska;2020-03-25;2020-03-25;2020-03-25;57276;86592;80387
8;32229;superstructure;quantify Fresh killer;2020-03-25;2020-03-25;2020-03-24;74750;18146;77218
9;17879;Triple-buffered;Shirt;2020-03-25;2020-03-25;2020-03-24;2800;85920;71274
10;86024;Sleek;reboot;2020-03-25;2020-03-24;2020-03-25;61120;16345;87291
