id;code;libelle;description;date_created;date_updated;user_created;user_updated;user_deleted
1;Cotton Credit Card Account interface;virtual;2020-03-24;2020-03-24;2020-03-25;71611;56068;35014
2;Berkshire calculating Chicken;Global Car;2020-03-25;2020-03-24;2020-03-25;1030;95903;64892
3;Dynamic;Clothing withdrawal;2020-03-24;2020-03-25;2020-03-25;74781;32791;29243
4;parsing Tokelau Salad;web services benchmark Georgia;2020-03-25;2020-03-25;2020-03-25;69905;93332;30634
5;SSL;Chips quantify;2020-03-24;2020-03-25;2020-03-25;65599;17591;25555
6;Regional;white Investor;2020-03-24;2020-03-25;2020-03-24;58165;74594;4460
7;Direct;protocol Buckinghamshire Borders;2020-03-25;2020-03-25;2020-03-25;78059;66096;87856
8;Small Fresh Ball Spurs;protocol;2020-03-25;2020-03-25;2020-03-24;20084;59486;13449
9;incentivize Gloves;Northern Mariana Islands Frozen;2020-03-25;2020-03-25;2020-03-25;24587;53945;74479
10;Uganda Shilling SMTP Turnpike;Ball Gibraltar Pound;2020-03-25;2020-03-25;2020-03-25;60623;10335;58423
