id;code_sit_mat;libelle_sit_mat
1;Wallis and Futuna technologies;Bond Markets Units European Composite Unit (EURCO)
2;connect;cohesive Tajikistan application
3;Buckinghamshire Steel Networked;Brooks bleeding-edge
4;Universal;open architecture unleash
5;e-commerce fresh-thinking;process improvement Pants array
6;connect grey;transmitter exploit hack
7;West Virginia;Peso Uruguayo Uruguay Peso en Unidades Indexadas Turnpike Toys
8;France non-volatile Re-contextualized;wireless payment
9;Licensed Wooden Ball navigating;IB Persevering Avon
10;Fresh Computers fuchsia;dynamic Consultant
