id;code;libelle;description;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;cultivate Cambridgeshire Regional;multi-byte extensible;Principal New Mexico;2020-03-25;2020-03-25;2020-03-25;95461;15280;30015
2;Stravenue District;GB;Station Hawaii User-friendly;2020-03-24;2020-03-25;2020-03-25;52635;78845;97304
3;ROI;Baby;programming;2020-03-25;2020-03-25;2020-03-25;5013;21978;21080
4;Metal monitoring users;Steel;Chair Underpass;2020-03-24;2020-03-25;2020-03-25;27497;91841;41938
5;innovative Fully-configurable Strategist;reciprocal Republic of Korea Movies;background;2020-03-25;2020-03-24;2020-03-25;53397;53085;58300
6;deposit superstructure Shoes;bus strategy;Beauty;2020-03-25;2020-03-24;2020-03-25;45555;77764;91006
7;tan Borders exploit;capacitor CSS panel;bypassing New Mexico supply-chains;2020-03-25;2020-03-25;2020-03-25;7368;24311;59058
8;New Hampshire;distributed quantify heuristic;Savings Account FTP;2020-03-25;2020-03-25;2020-03-25;62137;88300;35345
9;Accountability Investment Account;Serbia Interactions;withdrawal;2020-03-24;2020-03-25;2020-03-25;88379;28955;32077
10;Investment Account invoice index;Bedfordshire Balboa US Dollar;Generic Granite Bacon;2020-03-25;2020-03-25;2020-03-25;10047;98683;7297
