id;code_specialite;libelle_specialite;date_created;date_updated;user_created;user_updated;user_deleted
1;flexibility Frozen service-desk;payment;2020-03-25;2020-03-25;82157;57455;13626
2;cyan Baby Tunnel;Kuwaiti Dinar overriding;2020-03-25;2020-03-25;41715;90461;7951
3;Tasty Plastic Pants payment PNG;red AGP;2020-03-24;2020-03-25;15030;82102;95013
4;deposit generate;Jordan copying schemas;2020-03-25;2020-03-25;88009;24113;67413
5;B2C mobile generating;magenta driver hack;2020-03-25;2020-03-25;78893;80396;39210
6;Maryland;sky blue Hong Kong Dollar;2020-03-25;2020-03-24;70297;11400;36967
7;Brazil;sky blue Mountain Wyoming;2020-03-25;2020-03-25;87055;24454;92859
8;Indiana Rhode Island innovative;Solomon Islands Dollar Chile;2020-03-25;2020-03-24;8278;92793;17626
9;overriding Intuitive Iowa;Incredible card;2020-03-24;2020-03-24;82437;53362;98235
10;deposit revolutionize;Brand Automotive;2020-03-25;2020-03-24;84284;56254;22390
