id;libelle;montant;date;etat;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;sensor Utah Japan;997;2020-03-24;Buckinghamshire Argentine Peso optimal;2020-03-25;2020-03-25;2020-03-25;72133;51742;82562
2;matrix Sleek moratorium;55727;2020-03-25;standardization;2020-03-25;2020-03-25;2020-03-25;95213;33745;25873
3;Savings Account Handmade;12591;2020-03-25;Tuna redundant Stand-alone;2020-03-25;2020-03-25;2020-03-25;38795;11887;63771
4;Mauritius Mouse Savings Account;91306;2020-03-25;port;2020-03-24;2020-03-25;2020-03-25;90529;39518;78345
5;Idaho;76540;2020-03-25;open system;2020-03-25;2020-03-25;2020-03-25;16667;49045;83226
6;generate impactful;12683;2020-03-25;PCI;2020-03-25;2020-03-25;2020-03-25;40312;96220;41236
7;Chief e-commerce JBOD;20767;2020-03-25;channels Slovakia (Slovak Republic) interactive;2020-03-25;2020-03-25;2020-03-25;22746;67359;9638
8;open-source vertical;51708;2020-03-25;payment;2020-03-25;2020-03-25;2020-03-24;84465;84784;62782
9;Checking Account;43063;2020-03-25;Bedfordshire national;2020-03-25;2020-03-25;2020-03-25;18307;57168;76872
10;turquoise GB Money Market Account;33372;2020-03-25;leading-edge XSS;2020-03-25;2020-03-24;2020-03-25;13041;71761;14284
