id;code;libelle;montant;pourcentage;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;convergence Poland;Frozen withdrawal Advanced;17532;8110;2020-03-24;2020-03-24;2020-03-25;36614;746;2289
2;XSS Shoes fuchsia;Liaison;68935;7202;2020-03-24;2020-03-25;2020-03-24;79247;34100;10161
3;Bike;Maine content;86149;17052;2020-03-25;2020-03-25;2020-03-24;20008;75551;27517
4;Suriname Director virtual;embrace;14992;1353;2020-03-25;2020-03-25;2020-03-25;43488;5075;89003
5;matrix;Orchestrator;86663;48831;2020-03-25;2020-03-25;2020-03-25;73083;59053;11126
6;National Reverse-engineered;haptic Down-sized e-markets;99321;93577;2020-03-25;2020-03-25;2020-03-25;35550;50971;9805
7;Intelligent Granite Shoes black;Stream Investment Account;24669;27427;2020-03-25;2020-03-25;2020-03-25;88364;22627;64230
8;Consultant Keyboard;Executive Books;39293;11839;2020-03-25;2020-03-25;2020-03-25;43302;71203;62264
9;Advanced;core;69732;24133;2020-03-25;2020-03-25;2020-03-25;14230;84850;72465
10;Australian Dollar Center;hack;92861;87101;2020-03-25;2020-03-25;2020-03-25;20315;65485;63362
