id;sens_taux_devise;date_created;date_updated;user_created;user_updated;user_deleted
1;Syrian Arab Republic Music;2020-03-25;2020-03-25;33567;93719;77664
2;protocol;2020-03-24;2020-03-25;73471;84951;27587
3;XML infrastructure;2020-03-25;2020-03-25;13868;10733;77477
4;panel Organic system;2020-03-25;2020-03-25;70078;93922;13099
5;Nakfa hacking;2020-03-25;2020-03-25;71741;91746;84055
6;Developer;2020-03-25;2020-03-25;94419;78692;43359
7;Checking Account US Dollar;2020-03-25;2020-03-24;50591;33494;18185
8;payment;2020-03-24;2020-03-25;64218;66965;13112
9;multi-state program payment;2020-03-25;2020-03-25;19031;67257;95601
10;parsing;2020-03-25;2020-03-24;60574;23125;60215
