id;code_type_antecedent;libelle_type_antecedent;date_created;date_updated;user_created;user_updated;user_deleted
1;Bedfordshire payment Small;Ergonomic Wooden Pizza Vanuatu Accountability;2020-03-25;2020-03-25;83307;99488;32146
2;4th generation Fantastic Fresh Salad;withdrawal quantifying Manager;2020-03-25;2020-03-24;20284;94144;8340
3;hack copy Virginia;Fantastic Factors;2020-03-24;2020-03-25;99932;95225;70958
4;hierarchy relationships Slovenia;Towels Hong Kong programming;2020-03-25;2020-03-24;2571;11660;2563
5;JBOD;analyzing copying;2020-03-24;2020-03-25;39434;58807;80045
6;Strategist;Nevada;2020-03-25;2020-03-25;26712;73164;19383
7;compressing Grenada Auto Loan Account;Agent;2020-03-25;2020-03-25;87489;96895;99853
8;programming override compelling;seize;2020-03-25;2020-03-24;27737;30478;92144
9;transmitting programming Borders;program holistic Reduced;2020-03-25;2020-03-24;39284;94787;72078
10;South Carolina neural;Handcrafted Soft Shirt;2020-03-25;2020-03-25;56126;45150;40355
