id;libelle_type_bon_com;code_type_bon_com;date_created;date_updated;user_created;user_updated;user_deleted
1;harness;matrices 1080p;2020-03-25;2020-03-24;98511;85337;27335
2;e-enable Port;Ville TCP Chips;2020-03-25;2020-03-25;35368;68804;26179
3;flexibility;action-items quantifying;2020-03-25;2020-03-24;65904;94148;55710
4;initiative time-frame;New Hampshire redundant Handcrafted Cotton Chair;2020-03-25;2020-03-25;31412;88400;81439
5;South Dakota;cultivate Regional THX;2020-03-25;2020-03-25;20523;89504;68900
6;transmitter solution invoice;Small Salad;2020-03-25;2020-03-24;21489;61740;60367
7;copying PCI cutting-edge;Small Fresh Cheese;2020-03-25;2020-03-25;93312;93422;25936
8;Frozen;attitude-oriented;2020-03-25;2020-03-25;24504;12864;73488
9;Marketing;alliance;2020-03-25;2020-03-25;97016;49692;1086
10;Steel customized;architecture Cambridgeshire Shoes;2020-03-25;2020-03-25;38808;86821;42893
