id;code_type_caisse;libelle_type_caisse;date_created;date_updated;user_created;user_updated;user_deleted
1;Borders Mauritius Rupee wireless;Road;2020-03-25;2020-03-25;22617;15311;51197
2;Ameliorated Alabama;Reduced Arkansas;2020-03-25;2020-03-25;86377;96495;64550
3;groupware Bedfordshire cyan;Generic Berkshire;2020-03-25;2020-03-25;25954;80248;37587
4;Savings Account override;Timor-Leste SMTP Representative;2020-03-25;2020-03-25;28051;95619;76878
5;back up Cambridgeshire Cambridgeshire;bandwidth generate;2020-03-25;2020-03-25;76232;56295;75676
6;Plastic;Swiss Franc;2020-03-25;2020-03-25;66793;92828;3791
7;New Jersey Human Front-line;Grass-roots Programmable Technician;2020-03-25;2020-03-24;72339;78398;80762
8;Investment Account program;withdrawal;2020-03-25;2020-03-25;41635;7270;32772
9;Practical Steel Car withdrawal Borders;Concrete Sports;2020-03-25;2020-03-25;82473;16633;96375
10;Synergistic;solutions visionary Drives;2020-03-25;2020-03-24;19280;33685;90966
