id;code_type_champs;libelle_type_champs;date_created;date_updated;user_created;user_updated;user_deleted
1;Berkshire Gorgeous Games;Business-focused Web;2020-03-25;2020-03-24;95522;19025;21417
2;project Dynamic;deliverables Product Factors;2020-03-25;2020-03-24;68787;37538;94874
3;Grocery;Cape;2020-03-25;2020-03-25;43608;47325;42555
4;blue SSL;magenta Brand;2020-03-25;2020-03-24;10614;11027;30225
5;azure fuchsia neural;Trail;2020-03-25;2020-03-25;53259;23677;88568
6;Borders;e-tailers;2020-03-25;2020-03-25;3301;41298;6345
7;Shoes Money Market Account 1080p;Bedfordshire Rubber Enterprise-wide;2020-03-24;2020-03-25;86298;62720;60603
8;Gorgeous;Aruban Guilder payment;2020-03-25;2020-03-25;94071;73107;22556
9;Connecticut vertical;Investment Account calculating Computer;2020-03-25;2020-03-25;88496;28003;29008
10;mission-critical;Steel infrastructures;2020-03-25;2020-03-25;90501;81377;94391
