id;code_type_constante;libelle_type_constante;date_created;date_updated;user_created;user_updated;user_deleted
1;facilitate Architect;Directives Papua New Guinea Investment Account;2020-03-24;2020-03-25;56479;5449;35697
2;Function-based;Syrian Pound;2020-03-24;2020-03-24;88675;84527;37751
3;Lights calculating;cyan Frozen;2020-03-25;2020-03-25;94110;1624;23422
4;Plastic Bacon;Handcrafted Soft Sausages virtual Underpass;2020-03-25;2020-03-25;34124;54480;82936
5;drive;Ergonomic Wooden Soap Accounts Serbian Dinar;2020-03-24;2020-03-25;4180;32567;47000
6;Shirt;engage Regional tan;2020-03-24;2020-03-25;94819;79682;6104
7;optical Shoes Savings Account;Chips COM Refined;2020-03-25;2020-03-25;18796;35607;49963
8;payment Upgradable;Visionary withdrawal Sleek;2020-03-25;2020-03-25;77050;69128;8009
9;Mauritania Personal Loan Account;Developer Flats International;2020-03-25;2020-03-24;4797;26155;10094
10;implement;transmitting;2020-03-25;2020-03-25;34344;17733;92474
