id;code_type_doc;libelle_type_doc;date_created;date_updated;user_created;user_updated;user_deleted
1;Savings Account Computer;Berkshire Games;2020-03-24;2020-03-24;89699;82861;34201
2;Gorgeous Frozen Sausages Upgradable Russian Ruble;COM;2020-03-24;2020-03-25;34768;82954;27054
3;Avon;yellow withdrawal;2020-03-24;2020-03-25;17062;33407;99355
4;enhance Fundamental;background;2020-03-24;2020-03-25;49810;61159;60891
5;Estate Oregon;out-of-the-box interfaces Savings Account;2020-03-25;2020-03-25;89390;26576;41641
6;high-level;haptic;2020-03-25;2020-03-24;58234;41729;18142
7;relationships;Oregon deposit;2020-03-25;2020-03-25;92138;964;9796
8;invoice Borders Planner;Berkshire gold XSS;2020-03-24;2020-03-24;77435;24555;28478
9;Credit Card Account parse Computers;dynamic monitor;2020-03-24;2020-03-25;86837;88047;42886
10;real-time;Infrastructure;2020-03-25;2020-03-25;89675;22113;46428
